Sample no.,wp_seedweight,wp_winglength,wp_droptime,rm_seedweight,rm_winglength,rm_droptime,gs_shelldiameter,gs_bandnumber,gs_bandwidth,apf_shelllength,apf_shellwidth,apf_lipthick,sj_toothheight,sj_toothlength,sj_rowlength,sj_mandheight,s1_largelength,s2_largelength,s1_smalllength,s2_smalllength,s1_largepal,s2_largepal,s1_smallpal,s2_smallpal,s1_largepadp,s2_largepadp,s1_smallpadp,s2_smallpadp
1,0.0078,9.66,2.16,0.1183,25.78,1.71,20.27,10,2.02,58.74,38.63,4.72,7.14,3.48,58.59,22.87,58.02,65.1,39.27,38.26,4.93,8.91,4.94,3.29,17.25,20.87,12.69,10.87
2,0.0096,8.73,1.98,0.1072,23.81,1.92,21.62,12,2.17,59.9,37,5.7,6.42,7.41,59.28,23.26,54.74,54.9,47.45,30.83,2.94,4.51,2.69,2.41,19.07,15.31,15.58,9.37
3,0.0035,7.98,3.19,0.0762,22.86,1.02,20.17,9,2.78,53.51,24.7,1.99,5.48,7.09,50.06,17.13,72.94,72.65,39.74,43.9,6.49,5.38,3.39,3.26,17.87,20.27,13.45,13.44
4,0.0074,8.55,2.34,0.1118,30.18,1.71,21.46,12,2.68,55.27,36.74,5.19,4.65,6.78,50.99,18.96,67.97,68.612,36.98,35.73,4.86,4.8,3.13,3.74,17.15,19.82,8.35,9.87
5,0.0037,9.75,3.05,0.0698,21.57,2.19,21.75,11,1.7,47.06,32.26,4.77,4.23,5.97,4.34,15.03,10.78,65.52,35.43,25.38,4.47,3.64,3.28,1.92,14.5,18.75,10.05,6.67
6,0.0078,9.66,2.16,0.1183,25.78,1.71,20.27,10,2.02,58.74,38.63,4.72,6.27,6.05,45.15,15.86,58.02,65.1,39.27,38.26,4.93,8.91,4.94,3.29,17.25,20.87,12.69,10.87
7,0.0096,8.73,1.98,0.1072,23.81,1.92,21.62,12,2.17,59.9,37,5.7,6.07,7.22,50.24,17.36,54.74,54.9,47.45,30.83,2.94,4.51,2.69,2.41,19.07,15.31,15.58,9.37
8,0.0035,7.98,3.19,0.0762,22.86,1.02,20.17,9,2.78,53.51,24.7,1.99,5.7,6.55,46.15,17.33,72.94,72.65,39.74,43.9,6.49,5.38,3.39,3.26,17.87,20.27,13.45,13.44
9,0.0074,8.55,2.34,0.1118,30.18,1.71,21.46,12,2.68,55.27,36.74,5.19,5.7,6.75,42.06,18.16,67.97,68.612,36.98,35.73,4.86,4.8,3.13,3.74,17.15,19.82,8.35,9.87
10,0.0037,9.75,3.05,0.0698,21.57,2.19,21.75,11,1.7,47.06,32.26,4.77,6.24,6.78,46.57,16.87,10.78,65.52,35.43,25.38,4.47,3.64,3.28,1.92,14.5,18.75,10.05,6.67
11,0.0046,13.36,5.05,0.0869,31.2,1.13,20.12,11,2.81,54.88,37.3,6.48,4.51,6.89,49.25,17.35,61.52,65.46,39.33,39.76,4.35,5.82,4.64,2.67,18.14,17,11.62,8.81
12,0.0036,13.42,3.86,0.0958,25.51,1.16,21.48,10,2.16,60.95,22.66,0,7.07,7.08,55.16,23.12,74.42,70.41,38.76,42.76,5.19,6.03,3.29,3.22,21.51,18.27,12.43,11.94
13,0.0082,13.32,3.05,0.0771,24.7,0.79,20.44,8,2.8,51.81,34.36,6.32,5.15,6.65,50.16,19.03,68.11,45.27,41.43,45.06,4.73,5.05,3.99,4.92,20.52,17.45,11.27,12.23
