Sample no.,wp_seedweight,wp_winglength,wp_droptime,rm_seedweight,rm_winglength,rm_droptime,gs_shelldiameter,gs_bandnumber,gs_bandwidth,apf_shelllength,apf_shellwidth,apf_lipthick,sj_toothlength,sj_rowlength,sj_mandheight,s1_largelength,s2_largelength,s1_smalllength,s2_smalllength,s1_largepal,s2_largepal,s1_smallpal,s2_smallpal,s1_largepadp,s2_largepadp,s1_smallpadp,s2_smallpadp
1,0.001,11.41,4.91,0.1115,25.13,2.2,18.15,1,1.79,56.71,38.31,9.28,6.58,6.16,22.41,46.82,47.49,19.96,20.03,35.85,33.37,15.58,15.96,17.79,20.64,10.6,13.79
2,0.0088,11.9,2.29,0.0794,23.61,1.43,17.33,5,1.8,55.47,35.11,3.14,5.36,6.72,19.08,50.12,48.3,27.21,27.44,37.76,37.14,22.01,18.86,16.12,16.8,8.03,11.61
3,0.0009,9.49,2.4,0.0931,25.35,1.59,18.07,5,2.63,54.24,38.25,5.99,6.03,6.6,18.26,66.93,66.28,29.28,29.56,40.3,50.11,18.69,21.2,20.51,17.91,3.39,4.71
4,0.0013,12.14,5.05,0.0552,19.08,1.8,17.1,5,2.4,52.29,37.02,7.13,5.26,6.35,14.74,66.24,65.53,31.5,31.91,39.09,52.74,23.21,21.82,18.44,19.24,11.21,11.82
5,0.0075,10.54,3,0.0876,26.04,1.8,17.97,5,2.23,51.1,37.7,5.87,6.5,5.82,20.09,84.21,82.55,29.83,29.72,47.37,66.85,24.3,23.71,23.79,25.65,9.22,8.87
6,0.0069,8.1,1.91,0.1188,24.28,1.79,21.28,5,1.73,54.12,25.3,1.94,6.64,53.42,20.04,65.9,84.81,24.49,32.04,5.64,3.92,1.99,2.39,19.38,24.34,5.72,10.39
7,0.0086,9.58,2.3,0.1175,21.53,1.72,20.24,5,1.88,52.07,35.02,4.76,8.45,63.94,24.08,84.48,55.84,36.52,19.84,7.68,6.87,3.41,2.42,23.68,18.6,10.04,12
8,0.0082,10.56,1.23,0.0917,30.47,0.89,23.31,5,2.41,58.99,33.15,3.75,5.39,53.74,21.3,66.44,57.84,39.1,29.58,5.74,5.08,3.91,2.83,17.79,17.56,16.3,9.44
9,0.01,7.71,2.09,0.1062,19.95,0.73,21.71,1,1.31,53.91,24.91,2.95,7.63,63.73,22.92,58.51,67.04,27.72,27.5,4.82,7.01,2.4,3.6,17.8,19.54,7.13,10.88
10,0.0082,10.29,2.31,0.1121,29.29,1.46,20.88,5,2.44,51.94,32.41,5.9,6.18,44.74,15.56,67.21,52.92,37.44,33.04,5.59,5.95,3.35,3.57,19.34,13.2,10.78,11.92
11,0.0033,16.46,5.36,0.1001,27.1,1.14,18.7,5,2.13,52.34,32.97,4.47,5.59,47.52,16.82,65.69,70.43,25.02,21.76,3.46,2.58,1.9,0.43,19.84,19.23,8.41,5.71
12,0.0039,15.87,4.51,0.094,27.34,1.43,18.24,1,0.52,50.48,35.46,5.76,4.94,44.34,15.1,82.69,52.29,30.07,26.49,5.21,1.86,1.93,0.79,26.13,12.72,11.97,5.53
13,0.0077,14.26,2.71,0.071,27.26,1.44,20.36,1,0.85,47.27,34.23,6.43,6.29,50.84,15.19,63.12,48.42,25.42,33.77,3.9,0.94,1.81,1.37,18.64,13.25,6.83,9.44
14,0.0018,16.52,1.68,0.1173,27.24,0.94,20.96,5,1.56,59.96,36.72,7.82,6.19,55.91,19.54,64.81,68.36,32.69,29.25,5.22,1.27,2.38,0.44,23.5,17.58,11.81,7.97
15,0.0035,15.11,3.33,0.1086,23.78,0.65,16.61,5,1.77,56.87,38.4,8.17,6.5,60.93,21.81,58.34,76.44,26.46,21.76,3.93,2.36,1.54,0.46,18.78,18.81,10.04,7.38
16,0.0087,9.48,1.67,0.0764,23.76,1.39,20.99,1,1.46,58.89,34.03,3.18,5.84,49.48,15.46,68.61,68.11,20.63,24.49,4.48,3.98,5.03,2.67,19.49,19.67,12.3,15.06
17,0.0077,9.7,1.07,0.0992,25.2,2,20.8,5,2.39,57.82,38.4,6.37,6.51,60.26,22.44,62.83,62.29,35.18,35.02,5.15,4.42,2.84,2.08,16.87,17.75,11.37,9.93
