Sample no.,wp_seedweight,wp_winglength,wp_droptime,rm_seedweight,rm_winglength,rm_droptime,gs_shelldiameter,gs_bandnumber,gs_bandwidth,apf_shelllength,apf_shellwidth,apf_lipthick,sj_toothlength,sj_rowlength,sj_mandheight,s1_largelength,s2_largelength,s1_smalllength,s2_smalllength,s1_largepal,s2_largepal,s1_smallpal,s2_smallpal,s1_largepadp,s2_largepadp,s1_smallpadp,s2_smallpadp
1,0.0023,0.471,2.58,0.0841,1.359,2.68,20.62,5,2.36,53.9,30.86,4.08,4.93,51.67,19.77,48.5,46.8,22.6,22.61,4.41,3.51,1.22,1.82,16.12,15.77,6.02,5.42
2,0.0028,0.518,1.76,0.0872,1.339,1.76,21.19,5,2.57,39.5,18.16,0,7.38,51.68,18.87,66.6,65.64,25.48,25.56,5.7,5.74,1.55,1.55,16.42,16.43,5.01,5.22
3,0.0087,0.501,2.38,0.101,1.432,1.81,19.86,5,2.14,50.76,33.66,6.11,4.65,47.42,15.38,65.24,63.74,25.72,26.16,6.24,6.28,1.91,1.72,19.68,18.37,8.68,7.51
4,0.0031,0.445,3.24,0.0775,1.338,1.76,20.22,5,2.67,55.84,37.52,7.84,5.11,51.04,17.73,52.78,51.84,24.77,26.12,3.91,3.78,1.94,1.81,17.58,18.99,6.93,6.69
5,0.0072,0.474,2.33,0.0953,1.303,1.71,22.33,1,1.01,51.94,34.14,7.52,5.18,45.5,16.29,55.98,53.59,23.19,23.74,4.42,4.32,1.65,1.61,11.29,13.46,6.79,6.24
6,0.0029,19.23,2.18,0.0953,33.26,1.97,17.56,5,1.52,50.05,33.43,5.91,6.91,53.35,18.74,43.97,43.76,16.92,19.38,5.15,5.45,1.98,1.77,11.76,12.38,6.9,8.53
7,0.0041,19.77,4.65,0.0907,37.58,1.86,18.29,5,2.26,60.95,21,1.52,7.04,59.61,22.61,45.82,49.25,27.2,27.43,5.83,5.08,2.83,2.76,13.59,15.15,10.66,10.44
8,0.0046,16.53,1.68,0.1008,36.23,1.33,17.32,5,2.59,55.71,36.32,6.86,7.37,59.57,23.5,43.2,46.09,31.67,32.07,2.87,2.79,2.64,2.67,15.55,16.94,7.47,9.95
9,0.004,18.84,4.44,0.0904,35.97,1.28,18.78,5,2.39,56.52,37.5,7.39,6.28,47.9,18.83,44.72,47.97,21.87,20.57,3.76,3.98,1.42,1.65,13.71,16.99,6.9,6.05
10,0.0044,19.07,2.49,0.0663,30.89,1.94,15.12,5,1.6,59.04,37.71,6.03,7.96,58.31,22.87,39.43,42.09,27.69,27.33,3.7,3.99,1.95,2,10.24,11.53,5.97,6.46
11,0.0026,15,4.64,0.0764,24.5,1.43,20.78,5,1.59,58.45,39.52,6.36,8.85,56.4,22.26,63.22,63.56,26.46,26.84,5.3,5.47,1.41,2.39,16.3,16.73,8.27,7.68
12,0.0024,14.1,2.9,0.094,32.5,1.2,21.29,5,2.08,56,36.34,6.81,8.79,52.54,19.8,50.88,50.88,25.4,28.07,3.24,4.63,1.61,2.19,19.58,18.25,5.14,7.22
13,0.0026,15.1,4.37,0.1121,30.5,1.9,21.03,5,1.93,56.52,36.95,7,7.35,47,15.25,41.85,45.24,24.98,25.7,3.83,4.21,3.31,1.97,18.04,18.47,8.43,6.82
14,0.0023,15.1,4.3,0.0498,21.2,1.86,20.25,4,2.38,50.15,36.02,5.94,7.86,43.23,16.61,48.63,51.61,27.5,28.54,4.16,5.08,2.32,3.17,12.23,13.42,10.34,8.65
15,0.0036,14.9,1.78,0.098,27.2,2.01,21.94,1,0.83,51.59,36.13,6.62,10,61.5,23.37,39.81,42.15,29.18,31.47,4.78,5.17,2.15,2.24,15.53,15.29,10.17,7.64
16,0.0075,12.66,3.01,0.0804,32.26,1.36,22.72,1,1.05,60.25,32.3,6.4,7.84,62.36,23.47,78.04,78.25,32.73,32.74,5.64,6.53,2.48,2.73,22.53,21.53,12.21,10.21
17,0.0079,11.44,2.33,0.087,40.03,1.66,22.08,1,2.34,49.95,31.16,7.16,8.46,63.43,23.2,84.59,84.65,35.56,35.4,5.3,5.96,4.85,4.91,25.28,23.92,14.42,12.85
18,0.008,11.23,2.08,0.0931,32.31,1.7,20.55,3,4.63,49.28,34.7,7.62,8.56,57.31,22.91,72.47,72.5,31.97,32.02,6.86,6.13,3,2.57,21.95,19.3,10.05,8.68
19,0.0033,11.07,3.4,0.0901,39.48,1.26,16.28,5,2.15,41.62,18.85,0,7.62,45.53,16.89,74.77,78.78,24.56,24.45,4.34,6.88,3.14,2.24,20.79,18.56,8.37,8.5
20,0.0088,12.69,2.01,0.0821,33.25,1.03,14.69,5,1.5,32.75,15.53,0,6.87,50.21,18.89,68.59,70.45,21.91,21.9,5.2,5.53,2.4,2.66,23.15,19.5,6.95,6.93
21,0.0091,9.38,1.05,0.0969,25.41,1.91,21.86,11,1.71,59.55,36.57,7.73,5.43,50.4,15.31,48.65,48.76,23.44,23.79,5.52,4.03,2.6,1.42,10.16,15.14,8.28,6.58
22,0.0078,8.63,0.84,0.1117,25.12,0.96,20.65,11,2.61,46.56,30.85,7.02,5.64,56.01,19.16,64.46,63.46,26.84,24.09,3.05,3.28,2.97,1.27,17.33,17.59,9.26,7.14
23,0.0032,7.14,3.5,0.0714,24.28,1.58,21.25,9,2.35,58.53,30.9,3.17,5.18,50.86,18.91,52.3,50.75,26.12,23.98,6.03,5.66,2.29,0.95,18.89,18.5,5.82,5.18
24,0.0088,11.13,2.93,0.1175,34.65,0.92,20.91,10,2.06,52.46,32.07,6.54,6.67,64.52,22.65,55.65,53.6,26.15,23.96,4.91,3.62,2.59,0.97,18.82,17.31,6.51,6.24
25,0.008,10.32,1.16,0.1019,27.35,1.02,19.81,9,2.66,52.55,33.53,6.11,6.49,59.27,23.22,66.82,64.98,22.69,20.58,4.59,3.83,1.93,0.83,15.2,15.47,5.53,4.33
26,0.0056,23.71,2.68,0.0887,25.95,1.02,30.82,3,11.47,57.85,40.37,14.25,14.96,58.6,26.51,91.91,80.88,39.48,41.95,13.3,8.65,5.81,4.32,31.44,26.63,12.69,17.82
