Sample no.,wp_seedweight,wp_winglength,wp_droptime,rm_seedweight,rm_winglength,rm_droptime,gs_shelldiameter,gs_bandnumber,gs_bandwidth,apf_shelllength,apf_shellwidth,apf_lipthick,sj_toothlength,sj_rowlength,sj_mandheight,s1_largelength,s2_largelength,s1_smalllength,s2_smalllength,s1_largepal,s2_largepal,s1_smallpal,s2_smallpal,s1_largepadp,s2_largepadp,s1_smallpadp,s2_smallpadp
1,0.004,16.36,2.23,0.1077,30.01,1.72,14.59,6,2.21,52.22,35.93,7.25,6.98,44.97,21.25,66.32,65.94,24.5,24.55,5.28,5.83,2.15,2.35,19.01,19.22,14.04,13.25
2,0.0016,15.29,4.05,0.098,29.75,1.43,19.8,4,1.32,56.4,36,4.87,6.83,39.41,22.62,68.58,68.42,27.57,27,5.99,5.39,2.03,1.94,20.25,18.72,12.88,8.54
3,0.0028,16.39,4.59,0.0776,27.95,1.11,18.2,13,2.06,59.98,38.02,7.18,6.15,56.28,19.39,68.42,69.22,29.56,29.48,5.21,4.28,1.75,1.35,18.26,18.44,9.26,8.47
4,0.0041,13.88,4.9,0.0614,19.2,1.29,19.72,12,2.3,47.02,32.34,7.4,7.36,58.28,23.05,84.58,83.98,29.35,28.54,6.24,6.12,1.58,2.11,24.99,25.81,7.13,11.02
5,0.0043,16.02,1.74,0.0865,19.63,1.72,19.75,11,1.55,56.49,38.26,7.71,6.9,54.03,18.84,67.27,67.31,21.91,21.73,5.27,5.88,1.27,1.26,22.02,23.08,6.66,9.13
6,0.0066,11.96,4.53,0.1039,38.88,1.41,20.5,10,3,49.25,30.62,7.45,5.88,43.42,15.41,74.86,57.53,20.33,31.23,3.5,3.5,3.6,3.5,18.2,19.9,8.5,7.8
7,0.0033,12.97,2.78,0.0969,36.08,1.03,18.45,12,2.27,48.9,35.52,6.9,6.39,53,20,82.8,57.47,22.68,27.68,2.9,4.1,1.43,1.6,13.1,15.1,8.5,7.8
8,0.0031,16.29,1.34,0.1077,32.77,0.74,15.38,13,1.34,59.33,21.32,6.44,6.06,49.81,15.66,67.25,57.45,30.68,32.16,4.6,4.1,1.1,1.6,16.5,15.1,8.3,8.2
9,0.0089,13.96,1.96,0.891,30.68,1.58,20.75,1,2.63,57.1,36.73,1.7,6.58,44.02,16.55,66.42,80.38,30.36,22.6,4,3.7,1.9,2.1,17.3,15.1,8.3,8.1
10,0.0025,13.78,1.71,0.071,36.59,1.87,22.12,5,0.75,48.25,33.17,6.83,7.72,63.38,22.91,69.34,75.69,20.21,26.52,4.6,4.9,0.9,1.8,15.8,15.8,7.5,7.3
11,0.0011,18.82,2.2,0.11,40.95,1.36,24.4,1,0.9,57.24,37.6,6.29,6.84,43.7,16.7,52.7,51.7,29.9,28.6,6.47,6.71,3.01,2.38,22.49,22.76,10.52,12.81
12,0.0044,20.8,2.11,0.06,32.49,0.91,20.9,3,4,51.47,33.58,5.68,5.3,46.6,16.4,45.4,44.2,24.3,22.9,5.41,5.57,1.65,1.66,21.97,21.77,7.13,8.35
13,0.0025,20.12,5.53,0.099,35.31,1.3,20.8,5,1.9,51.56,35.17,5,7.34,61.2,23.2,45.7,44.5,24.3,24.2,3.75,4.2,2.05,2.3,14.09,14.15,6.23,6.63
14,0.0093,21.07,3.65,0.13,36.08,1.14,22.3,1,2.6,48.7,35.81,5.32,9.8,53.3,18.8,48,47.8,26.8,25.9,4.75,4.76,1.69,1.6,17.9,17.51,8.41,8.74
15,0.0078,18.09,1.68,0.08,38.41,2.23,21.2,5,2.5,50.94,33.17,7.31,4.85,49.1,16.7,46,44.1,25.8,25.7,3.8,3.97,2.29,2.43,16.41,16.59,7.78,7.78
16,0.0075,12.77,2.92,0.102,32.3,1.51,22.19,1,1.04,49.55,36.16,6.44,5.55,57.3,22.5,78.69,78.26,28.63,28.22,3.76,4.04,2.36,4.36,25.01,24.25,10.84,8.9
17,0.01,16.84,2.72,0.0588,26.89,1.86,22.05,1,1.2,51.44,32.96,7.46,6.3,55.7,18.8,73.76,72.43,26.74,26.1,4.43,5.99,3.42,3.71,20.26,19.76,11.96,13.67
18,0.0045,14.73,3.51,0.0913,30.75,1.71,21.81,5,1.48,57.66,38.4,6.39,6.99,50.1,18.3,56.38,55.77,24.69,24.38,3.07,3.77,3.34,3.34,20.04,17.63,11.55,8.65
19,0.0033,10.85,1.61,0.117,31.95,1.38,21.29,5,2.58,51.84,35.1,7.87,6.43,52.2,19.8,49.84,49.33,22.76,22.62,7.01,5.82,3.41,5.78,24.08,20.03,14.11,12.68
20,0.0035,11.84,2.91,0.0936,33.32,1.66,20.73,5,1.99,51.94,33.83,5.93,7.01,48,20.7,49.67,48.92,30.28,30.1,4.97,6.37,2.85,3.4,20.43,16.82,9.86,8.41
21,0.0083,11.55,3.06,0.1168,33.48,1.94,20.99,5,2.43,55.27,34.69,5.59,7.25,50.87,18.88,84.02,79.81,29.47,29.6,5.63,4.22,2.2,2.17,22.97,17.54,9.1,8.64
22,0.0082,11.93,2.69,0.0958,35.7,1.66,19.29,3,4.38,59.56,35.21,5.78,8.24,62.87,23.82,68.36,68.04,35.85,34.98,5.14,6.96,2.52,1.98,20.46,23.34,5.14,6.59
23,0.0083,13.33,2.97,0.0802,33.03,1.97,20.35,5,3.57,48.43,35.39,6.09,6.37,43.7,15.29,78.65,72.76,31.82,31.59,3.52,3.69,2.42,2.11,13.42,17.49,6.2,5.94
24,0.0067,10.24,1.6,0.0955,32.62,1.88,19.5,5,2.19,47.31,31.26,5.22,6.38,45.42,21.25,65.88,67.26,33.08,32.85,3.77,5.22,2.26,2.27,14.6,23.06,6.47,7.36
25,0.0079,10.78,2.31,0.0555,25.53,1.56,20.74,5,1.66,56.16,21.03,2.42,6.71,45.91,20.23,66.42,66.48,29.17,29.11,3.65,2.07,2.38,1.8,18.45,17.2,5.07,8.04
26,0.0095,20.72,3.43,0.1116,24.89,1.46,20.64,5,2.04,52.29,36.42,4.89,5.83,52.59,22.56,52.92,51.94,29.84,28.09,7.42,5.84,2.28,2.03,23.91,23.33,9.97,7.11
27,0.0067,19.08,2.75,0.0964,24.32,0.91,20.45,5,2.11,58.95,38.43,3.97,6.07,59.69,19.1,71.39,72.03,22.64,21.27,4.84,4.66,3.44,2.65,18.83,16.3,12.23,8.05
28,0.0085,19.83,1.83,0.09,25.31,1.03,22.27,1,1.31,50.92,34.18,5.86,6.33,55.56,23.79,46.01,43.03,22.68,21.97,3.96,3.94,1.72,2.1,18.82,15.36,7.27,7.35
29,0.008,19.98,1.71,0.1024,28.48,1.25,20.17,5,1.3,59.86,37.08,5.45,6.32,57.48,17.62,55.48,66.93,25.7,22.69,3.42,4.11,2.02,2.49,15.07,18.74,7.61,10.1
30,0.0031,20.76,2.7,0.1171,21.79,1.23,20.83,3,4.58,47.02,33.52,5.4,6.49,51.2,23.87,48.81,45.86,26.14,23.77,3.7,3.58,2.24,1.97,13.84,21.36,10.38,8.57
31,0.0093,11.36,2.73,0.101,27.2,1.73,21.3,5,2.86,50.79,33.27,5.7,5.25,46.2,15.79,78.53,72.41,29.89,26.11,3.28,3.28,2.4,2.4,17.47,17,8.95,8.96
32,0.002,9.25,1.96,0.0807,23.26,1.53,21.34,5,4.88,52.35,19.15,0,6.34,50.56,19.03,55.97,44.17,29.09,32.13,6.71,6.69,3.01,3.01,17.57,17.55,12.13,12.16
33,0.0043,10.88,4.13,0.0872,30.77,2.11,15.33,5,4.44,56.64,37.57,10.25,7.56,57.3,22.36,45.76,49.44,28.91,22.17,7.43,7.44,3.92,3.91,18.02,18.03,7.07,7.07
34,0.0026,10.4,5.01,0.0955,23.78,1.7,22.42,1,1.63,56.4,29.5,3.1,7.18,62.99,22.72,45.68,48.74,24.28,32.32,5.59,5.55,2.8,2.78,16.22,16.18,6.91,6.9
35,0.004,9.94,3.31,0.0943,26.17,1.53,20.99,5,0.84,53.66,24.87,2.75,5.21,44.24,14.64,42.56,46.35,30.13,23.71,5.08,5.06,2.97,2.95,16.78,16.75,11.05,11.05
36,0.001,11.41,4.91,0.1115,25.13,2.2,18.15,1,1.79,56.71,38.31,9.28,6.58,6.16,22.41,46.82,47.49,19.96,20.03,35.85,33.37,15.58,15.96,17.79,20.64,10.6,13.79
37,0.0088,11.9,2.29,0.0794,23.61,1.43,17.33,5,1.8,55.47,35.11,3.14,5.36,6.72,19.08,50.12,48.3,27.21,27.44,37.76,37.14,22.01,18.86,16.12,16.8,8.03,11.61
38,0.0009,9.49,2.4,0.0931,25.35,1.59,18.07,5,2.63,54.24,38.25,5.99,6.03,6.6,18.26,66.93,66.28,29.28,29.56,40.3,50.11,18.69,21.2,20.51,17.91,3.39,4.71
39,0.0013,12.14,5.05,0.0552,19.08,1.8,17.1,5,2.4,52.29,37.02,7.13,5.26,6.35,14.74,66.24,65.53,31.5,31.91,39.09,52.74,23.21,21.82,18.44,19.24,11.21,11.82
40,0.0075,10.54,3,0.0876,26.04,1.8,17.97,5,2.23,51.1,37.7,5.87,6.5,5.82,20.09,84.21,82.55,29.83,29.72,47.37,66.85,24.3,23.71,23.79,25.65,9.22,8.87
41,0.0069,8.1,1.91,0.1188,24.28,1.79,21.28,5,1.73,54.12,25.3,1.94,6.64,53.42,20.04,65.9,84.81,24.49,32.04,5.64,3.92,1.99,2.39,19.38,24.34,5.72,10.39
42,0.0086,9.58,2.3,0.1175,21.53,1.72,20.24,5,1.88,52.07,35.02,4.76,8.45,63.94,24.08,84.48,55.84,36.52,19.84,7.68,6.87,3.41,2.42,23.68,18.6,10.04,12
43,0.0082,10.56,1.23,0.0917,30.47,0.89,23.31,5,2.41,58.99,33.15,3.75,5.39,53.74,21.3,66.44,57.84,39.1,29.58,5.74,5.08,3.91,2.83,17.79,17.56,16.3,9.44
44,0.01,7.71,2.09,0.1062,19.95,0.73,21.71,1,1.31,53.91,24.91,2.95,7.63,63.73,22.92,58.51,67.04,27.72,27.5,4.82,7.01,2.4,3.6,17.8,19.54,7.13,10.88
45,0.0082,10.29,2.31,0.1121,29.29,1.46,20.88,5,2.44,51.94,32.41,5.9,6.18,44.74,15.56,67.21,52.92,37.44,33.04,5.59,5.95,3.35,3.57,19.34,13.2,10.78,11.92
46,0.0033,16.46,5.36,0.1001,27.1,1.14,18.7,5,2.13,52.34,32.97,4.47,5.59,47.52,16.82,65.69,70.43,25.02,21.76,3.46,2.58,1.9,0.43,19.84,19.23,8.41,5.71
47,0.0039,15.87,4.51,0.094,27.34,1.43,18.24,1,0.52,50.48,35.46,5.76,4.94,44.34,15.1,82.69,52.29,30.07,26.49,5.21,1.86,1.93,0.79,26.13,12.72,11.97,5.53
48,0.0077,14.26,2.71,0.071,27.26,1.44,20.36,1,0.85,47.27,34.23,6.43,6.29,50.84,15.19,63.12,48.42,25.42,33.77,3.9,0.94,1.81,1.37,18.64,13.25,6.83,9.44
49,0.0018,16.52,1.68,0.1173,27.24,0.94,20.96,5,1.56,59.96,36.72,7.82,6.19,55.91,19.54,64.81,68.36,32.69,29.25,5.22,1.27,2.38,0.44,23.5,17.58,11.81,7.97
50,0.0035,15.11,3.33,0.1086,23.78,0.65,16.61,5,1.77,56.87,38.4,8.17,6.5,60.93,21.81,58.34,76.44,26.46,21.76,3.93,2.36,1.54,0.46,18.78,18.81,10.04,7.38
