Sample no.,wp_seedweight,wp_winglength,wp_droptime,rm_seedweight,rm_winglength,rm_droptime,gs_shelldiameter,gs_bandnumber,gs_bandwidth,apf_shelllength,apf_shellwidth,apf_lipthick,sj_toothlength,sj_rowlength,sj_mandheight,s1_largelength,s2_largelength,s1_smalllength,s2_smalllength,s1_largepal,s2_largepal,s1_smallpal,s2_smallpal,s1_largepadp,s2_largepadp,s1_smallpadp,s2_smallpadp,
1,0.0043,15.16,3.97,0.098,25.11,2.01,16.92,5,2.02,55.19,32.81,3.93,6.51,53.04,20.62,68.81,68.74,28.24,29.14,6.32,5.67,2.18,1.82,18.07,17,9.01,6.87,
2,0.0038,14.15,3.63,0.0426,23.41,2.3,19.81,1,1.5,53.1,36.61,1.97,5.65,43.88,15.67,69.12,68.45,32.17,32.38,6.05,5.61,2.38,1.75,19.91,17.69,8.69,7.25,
3,0.0027,15.35,5.32,0.078,22.18,1.61,19.35,5,3.26,54.89,27.19,0.84,6.71,57.97,23.13,71.88,69.87,29.76,27.79,5.07,5.05,2.77,3.27,17.68,16.21,7.11,9.19,
4,0.0091,16.32,3,0.0939,32.01,1.31,19.87,5,2.32,57.98,35.12,2.99,5.57,45.34,16.27,61.41,61.22,29.39,30.17,4.84,4.19,1.87,1.43,17.54,16.27,8.79,7.57,
5,0.007,16.62,2.86,0.1174,24.47,2.65,20.3,4,2.5,61.19,22.89,0,5.01,57.93,22.92,59.36,57.9,28.53,28.65,5.42,4.6,1.91,2.09,19.04,18.31,7.28,6.04,
6,0.0046,19.97,1.57,0.0429,22.89,2.7,19.6,9,0.78,58.53,33.93,5.6,4.97,46.43,16.85,84.06,66.72,26.17,38.28,6.73,0.82,0.79,1.62,23.87,16.81,3.8,10.49,
7,0.0085,14.71,1.63,0.0599,20.45,1.93,18.89,9,0.77,59.78,35.43,5.83,4.66,50.35,18.98,66.1,73.35,35.37,52.52,7.34,4.25,2.1,1.71,16.4,18.89,4.26,13.17,
8,0.0086,16.46,3.45,0.0775,27.69,1.21,19.66,10,0.42,55.3,35.49,3.21,5.36,46.21,16.5,77.68,70.34,25.94,38.15,2.89,3.88,0.87,2.25,16.63,21.36,4.06,10.7,
9,0.0083,17.55,3.24,0.078,21.54,1.43,20.04,11,0.3,56.4,35.29,6.64,7.41,63.32,23.17,69.33,66.66,34.47,43.94,3.76,2.58,1.82,2.53,15.91,22.05,3.5,11.04,
10,0.0082,14.63,2.53,0.0707,15.5,2.28,19.86,11,0.14,39.75,16.44,0.81,6.64,57.67,22.29,69.21,69.72,38.83,27.16,3.43,2.47,2.86,0.65,16.3,17.42,5.66,8.44,
