Sample no.,wp_seedweight,wp_winglength,wp_droptime,rm_seedweight,rm_winglength,rm_droptime,gs_shelldiameter,gs_bandnumber,gs_bandwidth,apf_shelllength,apf_shellwidth,apf_lipthick,sj_toothheight,sj_toothlength,sj_rowlength,sj_mandheight,s1_largelength,s2_largelength,s1_smalllength,s2_smalllength,s1_largepal,s2_largepal,s1_smallpal,s2_smallpal,s1_largepadp,s2_largepadp,s1_smallpadp,s2_smallpadp
1,0.0093,0.628,3.32,0.093,0.929,2.16,0.656,4,0.087,2.158,1.32,0.153,8.55,0.326,2.145,0.791,2.282,2.373,1.509,1.612,0.125,0.213,0.131,0.201,0.724,0.775,0.613,0.528
2,0.003,0.571,5.07,0.1148,1.525,1.41,0.816,5,0.13,2.84,1.347,0.167,7.72,0.239,1.958,0.605,3.063,2.902,1.62,1.738,0.306,0.25,0.181,0.193,0.979,0.98,0.612,0.653
3,0.0023,0.524,4.39,0.0518,0.951,2.07,0.846,5,0.088,2.255,1.331,0.079,6.55,0.219,2.13,0.826,2.605,2.712,1.649,1.582,0.258,0.269,0.148,0.151,0.927,0.972,0.582,0.482
4,0.002,0.592,3.39,0.0875,1.317,1.48,0.824,4,0.117,1.865,1.312,0.135,6.45,0.33,2.24,0.968,2.713,2.62,1.66,1.717,0.23,0.216,0.156,0.132,0.868,0.798,0.628,0.523
5,0.0072,0.392,2.56,0.0753,1.015,1.99,0.677,5,0.088,1.905,1.205,0.103,6.84,0.338,2.485,1.013,3.277,3.105,1.675,1.735,0.236,0.245,0.141,0.138,1.036,0.952,0.664,0.635
6,0.0089,19.71,1.34,0.074,32.95,1.61,19.37,5,2.84,59.91,21.87,0.87,6.95,0.072,1.733,0.691,61.89,59.12,40.49,38.27,34.63,31.96,18.71,16.43,22.08,19.43,10.3,11.17
7,0.0049,20.79,4.14,0.1023,39.78,2.29,18.98,5,1.96,58.64,37.84,5.87,7,0.302,1.995,0.73,79.53,77.99,38.62,38.44,48.69,48.89,19.41,20.54,25.4,18.78,11.88,10.61
8,0.0109,19.77,3.38,0.0804,31.93,1.84,22.08,1,1.62,58.17,34.1,6.49,8.26,0.271,2.118,0.812,69.47,73.78,35.22,36.26,37.41,38.14,19.87,19.42,23.76,20.38,13.57,9.73
9,0.0046,18.12,2.13,0.0904,39.64,1.99,18.67,4,2.98,52.9,23.23,2.22,6.92,0.244,1.779,0.588,61.18,59.33,38.85,37.69,31.24,29.81,20.33,18.81,19.61,15.93,11.18,6.46
10,0.0074,17.9,3.37,0.0944,37.03,2.29,15.09,5,2.33,55.84,34.95,6.95,7.35,0.215,1.858,0.631,67.94,68.85,34.13,35.23,38.68,31.58,19.21,15.76,19.68,15.13,11.13,11.25
11,0.0025,16.67,4.82,0.108,26.77,2.13,21.76,1,2.33,47.11,34.09,6.33,7.14,1.66,60.25,23.41,70.76,72.37,42.47,32.64,6.48,5.7,4.88,3.12,21.05,19.2,12.54,9.84
12,0.0036,14.75,3.31,0.1019,29.71,1.81,23.59,1,1.55,55.35,35.71,6.35,6.42,6.27,49.87,16.27,63.88,55.61,35.01,24.69,5.21,4.1,5.06,2.16,19.64,17.76,11.32,7.67
13,0.0023,12.26,3.11,0.1212,24.98,1.26,21.01,5,1.7,59.97,36.58,6.72,5.48,6.56,58.62,20.21,67.25,51.66,43.29,30.62,6.01,4.41,5.66,2.14,18.24,18.69,13.31,9.74
